"","Centroid_1","Centroid_2","Centroid_3"
"1",1,81,2
"2",1,169,2
"3",1,257,2
"4",1,344,2
"5",1,432,2
"6",1,520,2
"7",81,602,2
"8",83,4.5,2
"9",86.7,17.1,2
"10",89.7142857142857,3.5,2
"11",92.7692307692308,16.4615384615385,2
"12",95.6666666666667,3.5,2
"13",97,16,2
"14",97,21,2
"15",101.6875,3.625,2
"16",101.7,17.1,2
"17",107.298507462687,17.3283582089552,1.98507462686567
"18",106,3.5,2
"19",112.692307692308,3.38461538461538,2.15384615384615
"20",112,16,2
"21",112,21,2
"22",116.943396226415,17.6792452830189,2
"23",117,3.5,2
"24",122,3.04545454545455,2
"25",122.583333333333,16,2
"26",122.2,20.8,2
"27",128.75,3.375,2
"28",169,602,2
"29",257,602,2
"30",327.966666666667,229.294444444444,2.45
"31",337.9440433213,260.492779783394,2.47833935018051
"32",338.925925925926,247.049382716049,2.37037037037037
"33",339.944444444444,229.981481481481,1.83333333333333
"34",345,602,2
"35",432,602,2
"36",520,602,2
"37",608,602,2
